task_id_sha256,task_group,official_evaluation_hash,current_evaluation_hash,match
725433a7c0297770358724de9de3d15555cea8f3abff750460ae47acb2bb6419,HumanEval/0,a45d37249551d2a00efeb4cdccab8d3e95e62cb6c4755945cc200213bfb0a34c,a45d37249551d2a00efeb4cdccab8d3e95e62cb6c4755945cc200213bfb0a34c,True
46d6a08d0ce7a67aa765854db61acdb5edcfebca85fca19840dc0e3611ae884a,HumanEval/0,2789a458b265ed677fc9fd700a1e1305320028d521e650352190e0429f367c7d,2789a458b265ed677fc9fd700a1e1305320028d521e650352190e0429f367c7d,True
8aaa23c439835fb67869c84aedfea2c87aa4bce6421936ac059599685af4a6d9,HumanEval/0,2bf3802c729c0d9230f23b883e8fb1c5e443abdfff8b1bd9d41b411d797f7bc5,2bf3802c729c0d9230f23b883e8fb1c5e443abdfff8b1bd9d41b411d797f7bc5,True
a24cb067fd56a127158eb4b9022d58cda847b02d31e0693f98865481d56cde2c,HumanEval/0,4d8090bd7048a454a3b83f8963239cf0d2f70484d304d4a893fee5be200ae8b7,4d8090bd7048a454a3b83f8963239cf0d2f70484d304d4a893fee5be200ae8b7,True
534bf74c635b4d5f3ac5763334e6ce65892c8c8d5049fed353e5c51d398062bb,HumanEval/0,bcbcd4826d5a92ae4bcc803a7d7ea8635ef361c69952d91191ca538c6950b063,bcbcd4826d5a92ae4bcc803a7d7ea8635ef361c69952d91191ca538c6950b063,True
7ea85e1f04da0bef0cc8d341d6680a7e86cc0b0591195a3db348072029e6b42c,HumanEval/0,93dc12ea7408318727102b574d135bf9db3c7ae28bf357d8a97b4ce1e63dd6a4,93dc12ea7408318727102b574d135bf9db3c7ae28bf357d8a97b4ce1e63dd6a4,True
52927266e773a995a35462ba0933e3ff70586098323ce1236a0bfed4c060490f,HumanEval/0,34347bb9f690e8f62b9e74824d479be6521512be11988114aae508e956492171,34347bb9f690e8f62b9e74824d479be6521512be11988114aae508e956492171,True
9f4ea1a9f125ef1c5de26fcb51c3298a82186e0f9f63bf52a74da22c7aa90359,HumanEval/0,dfb51cf3f576223423f0b8c68fa4914caa6de70dd4e350f4bb3b929ed8b41187,dfb51cf3f576223423f0b8c68fa4914caa6de70dd4e350f4bb3b929ed8b41187,True
b7f87bb1da9c972d79480e03e3c2df7fdce78dbe385d79377341130600a43a90,HumanEval/0,e4cf913711ff661a0cdc8ba1139e75675919d82ccd4cc6a3da4fb6bbaa9cd224,e4cf913711ff661a0cdc8ba1139e75675919d82ccd4cc6a3da4fb6bbaa9cd224,True
08bbe0fb2db797d54f36fb5f7f9f51579caa1e6882fb2c026cf21796982c6be4,HumanEval/0,a1a054e2053c492fdb8fc2d1f4c274e0d12e17d08252394a6fa87f24c4afb688,a1a054e2053c492fdb8fc2d1f4c274e0d12e17d08252394a6fa87f24c4afb688,True
