head,phase,epoch,global_step,train_loss,validation_baseline_raw_tv,validation_head_raw_tv,validation_relative_raw_tv_improvement,validation_ci95_low,validation_top1_agreement,learning_rate
tv,pilot,1,157,0.11354310971274972,0.060569145407696395,0.05422502914930442,0.10474171652396873,0.005282558148375337,0.96675,0.00028211073369479114
tv,pilot,2,314,0.09484664854928851,0.060569145407696395,0.052052251692367005,0.14061439463940606,0.00722708102194591,0.967,0.00021052857918952425
tv,pilot,3,471,0.08506688382588327,0.060569145407696395,0.051046400652305694,0.1572210519282094,0.008003498540974523,0.96825,0.00011337084531564144
tv,pilot,4,628,0.07905461534112691,0.060569145407696395,0.050704071527638915,0.16287292504549594,0.008297156004175446,0.9685,3.169029371464536e-05
tv,pilot,5,785,0.07730953645706176,0.060569145407696395,0.05065721836118655,0.16364647346089775,0.008324275879848424,0.96875,0.0
tv,full,1,1563,0.10499821237210184,0.06077618837035444,0.045921201839654584,0.2444211611326692,0.012178368152553815,0.97305,0.0002819274223243446
tv,full,2,3126,0.08852678665760905,0.06077618837035444,0.043681541454679715,0.28127211287921433,0.01404792221756722,0.97375,0.00021026349179081023
tv,full,3,4689,0.0822846181858331,0.06077618837035444,0.04240571600020244,0.30226430552385214,0.0152978356685897,0.9741,0.00011318365409666315
tv,full,4,6252,0.07854456615481525,0.06077618837035444,0.042060869684794874,0.3079383420939996,0.01565221379237963,0.9742,3.163097557743298e-05
tv,full,5,7815,0.07637537702575325,0.06077618837035444,0.04200512262234333,0.30885559379974725,0.01572200895937931,0.9742,0.0
