head,phase,epoch,global_step,train_loss,validation_baseline_raw_tv,validation_head_raw_tv,validation_relative_raw_tv_improvement,validation_ci95_low,validation_top1_agreement,learning_rate
kl,pilot,1,157,0.08206803069487215,0.060569145407696395,0.054353309512305714,0.10262380051016615,0.005250976700593983,0.9675,0.00028211073369479114
kl,pilot,2,314,0.06633737836927175,0.060569145407696395,0.05208209483574501,0.14012168266242292,0.007269128901958278,0.96825,0.00021052857918952425
kl,pilot,3,471,0.05813150454442948,0.060569145407696395,0.05131138630467467,0.15284612389207267,0.007903064930957809,0.96975,0.00011337084531564144
kl,pilot,4,628,0.05342142786122858,0.060569145407696395,0.05092900964396631,0.15915918408360333,0.00819602438998955,0.96975,3.169029371464536e-05
kl,pilot,5,785,0.052490553260222075,0.060569145407696395,0.05087456746771568,0.16005802747794498,0.008240798884364598,0.96975,0.0
kl,full,1,1563,0.07414507790669798,0.06077618837035444,0.04572270263392503,0.24768722981930605,0.012240029503811978,0.9736,0.0002819274223243446
kl,full,2,3126,0.05930578582601622,0.06077618837035444,0.04336190127282086,0.28653141245738223,0.014347087641116536,0.9731,0.00021026349179081023
kl,full,3,4689,0.053968222551662476,0.06077618837035444,0.042279653903073304,0.30433850761696374,0.01521237711350479,0.97445,0.00011318365409666315
kl,full,4,6252,0.051192932850429786,0.06077618837035444,0.041917378251721996,0.31029932321046055,0.01568055736196386,0.97435,3.163097557743298e-05
kl,full,5,7815,0.04967003939552233,0.06077618837035444,0.041844579178073604,0.3114971455089695,0.015756095537822444,0.9743,0.0
